Iteration,Page_1,Page_2,Page_3,Page_4,Page_5,Page_6,Page_7,Page_8,Page_9,Page_10,Page_11
41,0.0327815,0.384536,0.342776,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
42,0.0327815,0.384287,0.343025,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
43,0.0327815,0.384498,0.342813,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
44,0.0327815,0.384318,0.342993,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
45,0.0327815,0.384471,0.34284,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
46,0.0327815,0.384341,0.34297,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
47,0.0327815,0.384452,0.34286,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
48,0.0327815,0.384358,0.342953,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
49,0.0327815,0.384438,0.342874,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
50,0.0327815,0.38437,0.342941,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
51,0.0327815,0.384427,0.342884,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
52,0.0327815,0.384378,0.342933,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
53,0.0327815,0.38442,0.342891,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
54,0.0327815,0.384385,0.342927,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
55,0.0327815,0.384415,0.342896,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
56,0.0327815,0.384389,0.342922,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
57,0.0327815,0.384411,0.3429,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
58,0.0327815,0.384392,0.342919,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
59,0.0327815,0.384408,0.342903,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
60,0.0327815,0.384395,0.342916,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
61,0.0327815,0.384406,0.342905,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
62,0.0327815,0.384397,0.342915,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
63,0.0327815,0.384405,0.342907,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
64,0.0327815,0.384398,0.342913,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
65,0.0327815,0.384404,0.342908,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
66,0.0327815,0.384399,0.342913,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
67,0.0327815,0.384403,0.342908,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
68,0.0327815,0.384399,0.342912,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
69,0.0327815,0.384402,0.342909,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
70,0.0327815,0.3844,0.342911,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
71,0.0327815,0.384402,0.342909,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
72,0.0327815,0.3844,0.342911,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
73,0.0327815,0.384402,0.34291,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
74,0.0327815,0.3844,0.342911,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
75,0.0327815,0.384401,0.34291,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
76,0.0327815,0.3844,0.342911,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
77,0.0327815,0.384401,0.34291,0.0390871,0.0808857,0.0390871,0.0161695,0.0161695,0.0161695,0.0161695,0.0161695
